restaurant,reviews,Label
더리버벨라쿠치나,"노을이 끝내주는 레스토랑이래요...
시간 맞춰 예약했지만ㅠ 애석하게도 비가 오네요..…",1
더리버벨라쿠치나,"특별한 날 가기 좋은 곳. 뷰는 진짜 진짜 너무 좋고 음식도 괜찮았지만 예약 과정이 개선되어야 할것 같다..

네이버 예약으로 예약 신청했는데 며칠 지나도 승인이 안나길래…",1
더리버벨라쿠치나,"서울 반포 나루에 위치한 카페. 현대 중공업 운영하는 요트 클럽 일층에 있고 윗층에는 레스토랑이 있음.

커피나 음식은 아주 그냥 보통이지만 고즈넉하게 한강을 바라보며 분위기를 즐길 수 있는것만으로도 알고 있으면 좋을 집. 요트에 타서 커피마시는 메뉴도 있음. 미세먼지가 없어 가을밤 한강뷰가 기가멕힘.",1
더리버벨라쿠치나,"파스타류는 맛은 있는데 양이 적다.
근데 최악인건 8만원짜리 등심...
진짜 맛도없는 평범한 고기를 이렇게까지 받는건좀 너무하다 싶었다.…",-2
더리버벨라쿠치나,한강과 가장 가까운 장소에서 강과 야경을 감상하며 식사할 수 있는 나름 분위기 있는 식당. 해질 무렵부터 야경까지 시간의 흐름에 따라 변해가는 한강의 모습을 보는 것은 흥미있는 일이네요. 음식도 나름대로 맛있습니다.,1
더리버벨라쿠치나,"생일을 기념해 괜찮은 레스토랑을 찾던중 위치가 마음에 들어 방문한 곳.
가격은 대략 1인 5만원선
주변에 공용시설이 없기 때문에 소란스럽지 않다.…",1
더리버벨라쿠치나,"저녁에 방문해서 티본 스테이크 세트 먹었어요. 코스로 나오는데 가격에 비해 메인메뉴 맛이 영 별로예요. 특히 파스타 중에 매콤한 베이컨 어쩌구 링귀니는....🤐 제 초이스가 잘못되었을 수도 있지만 전반적인 음식 맛은 크게 기대하지 않는게 좋을 것 같아요.
다만 가게 분위기가 예쁘고, 선상 레스토랑인 만큼 뷰는 좋았습니다. 바로 앞에서 야경과 한강물이 찰랑거리는 것을 보면서 음식을 먹으니 기분은 좋아요. 셀카 찍으면 분위기 있게 나와요.…",-2
더리버벨라쿠치나,"세트메뉴로 시켰는데 재료 하나하나, 음식 하나하나가 정성이 느껴지고 평범하지 않은데 너무 맛있었어요! 게다가 분위기도좋고~^",2
더리버벨라쿠치나,스테이느는 돈을 추가하더라도 등심으로 먹는게 좋을 것 같네요. 딱 적당했어요 분위기가 좋아서 기념일에 가면 좋을 것 같아요,1
더리버벨라쿠치나,음식도 맛있고 강을 끼고 있어 나름 분위기도 좋고요 ...다만 쪼미 가격이....ㅎㅎ 암튼 좋아요~^^,1
더리버벨라쿠치나,뷰좋구~ 조용하게 식사하기 좋았어요 점심때 갔는데 저녁때 가면 더 좋을 것 깉음!,1
더리버벨라쿠치나,"분위기내고 싶을때 강추 음식도 하나같이 다 맛있음 진짜 맛있다
단 주의!!!! 반포한강공원 입장하는 차들땜에 진짜 일찍 출발할것 다와서 못가고 줄서야됨.. 새치기하는 새끼들 이거보면 정신차려라 내가 상품권한장씩 보냈다",1
더리버벨라쿠치나,음식도 질에 비하면 괜찮은 수준입니다. 수면에 떠있는 구조라 한강의 경치는 이루 말할수가 없죠. 특히 번잡하지 않아 좋았습니다. 멤버쉽 오백정도라는데 멤버가 아니라도 이용가능합니다.,2
더리버벨라쿠치나,3층은 프라이빗멤버쉽 구역입니다. 저는 오늘 이곳에서 식사하였고 최근 먹어본 일식중 가장 좋았습니다. 아무도 없어 방해받지 않는 식사는 한강뷰와 함께 최고였습니다.,1
더리버벨라쿠치나,"한강 바로 앞이라서 조망좋고 분위기 좋아요
칵테일 마시기에 좋을 거 같아요
식사도 있으나 가격대비 맛은 보통이었어요
외부음식은 들고 가도 되지만 먹는 거는 안돼요ex)cake",1
더리버벨라쿠치나,"한강의 아름다운 석양뷰를 경험 할 수 있다
종류는 많지 않치만 합리적인 가격의 음료",1
더리버벨라쿠치나,"아름다운 한강 뷰, 벨라쿠치나에서 맛나는 런치, 커플 셋, 한강 데이트 명소",2
더리버벨라쿠치나,너무 비싸네요^^  허니 자몽티 한 잔에 육천원!  맛도 별루...  화장실은 매우 깨끗해여^^,1
더리버벨라쿠치나,커피값이 다소 비싸지만 멋진 뷰 감안하면 한번 가보세요. 주차장이야 워낙 넓어서 편하구요. 레스토랑 갔는데 3시간 무료 주차권 주시니 꼭 받으시길 바랍니다.,1
더리버벨라쿠치나,맛있었어요~  고기도 양고기랑 이베리코 시켰는데 마싱구용 리조또도  맛있네요~~~,1
더리버벨라쿠치나,"이야아아아아아 분위기 핵좋 ㅜ
회 쪽만 조금 비리고 구워나오는 고기는 다 좋음
과일과 샐러드류는 완전 신선
또 가고싶드아아아아아!!!!",2
더리버벨라쿠치나,"한강위에 자리잡은 곳이라
경관이 좋습니다.
낮에 방문해서 한가하고 좋았습니다.
야경도 분위기도 좋다고 합니다.",1
더리버벨라쿠치나,멤버쉽으로 운영되는 일식당에서 멋지고 맛있는 음식후 요트를 즐길 수 있었다,1
더리버벨라쿠치나,"한강위에서
호텔같은 서비스와 음식으로 즐길 수 있는 레스토랑.
한강변의 뷰는 저녁 일몰과 야경으로
외국에 온 듯한 착각을 일으키는 장소",1
더리버벨라쿠치나,지나가다 여름 저녁 맥주 한잔 하기 좋다..,1
더리버벨라쿠치나,모임을 갖기 딱 좋은장소이고 한강경치도 멋있는 곳입니다~~~,1
더리버벨라쿠치나,밖으로 보이는 뷰만으로도 좋은곳,1
더리버벨라쿠치나,커피도 맛있고 뷰도 좋고,1
더리버벨라쿠치나,"멋진 야경을 보며 식사를 하고, 한강에서 요트를 탈수있는 곳",1
더리버벨라쿠치나,"석양이 지는 시간에 너무나 아름다운 곳입니다. 해 지는 시간에 종업원들이 한강변의 통창을 열어주면 시원한 강바람이 들어옵니다.
완도산 전복과 표고버섯이 들어간 아발론 파스타는 깊고 신선한 맛이 훌륭합니다.",1
더리버벨라쿠치나,"더 리버까페를 5명 방문.
분위기도 좋고
강바람도 있어서 시원하고…",1
더리버벨라쿠치나,분위기좋은 야외라운지 요트카페~가끔 야외공연도 합니다.,
더리버벨라쿠치나,"한강 요트 선착장쪽 분위기 좋은 음식점.
점심코스 29000, 기본코스 39000원,59000원.
맛도 좋고 음식에 재료가 푸짐해요.…",
더리버벨라쿠치나,한강의 야경이 예뻐서 가족과 편안하게 즐기면서 식사하기에 좋은 장소입니다. 테이블 사이 공간도 넓어서 편안합니다. 파스타는 so so.,
더리버벨라쿠치나,분위기 괜찮아요 티본 괜찮고 파스타 괜찮아요,
더리버벨라쿠치나,한강 뷰가 좋은 레스토랑 벨라쿠치나,
더리버벨라쿠치나,"2021년 12월 13일 오후 7시30분에 예약후 갔었다.
두번째방문이있는데
친구들 년말모임이었는데…",
