,폐업여부,식당명,방송,주소,자치구_명,행정동_명,최근 10년 외식업 평균영업기간,최근 30년 외식업 평균영업기간,nearest_station,distance_to_nearest_station,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,월_평균_소득_금액,지출_총금액,비음식 지출_총금액,음식_지출_총금액,총_상주인구_수,총_가구_수,비_아파트_가구_수,총_직장_인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_시가,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,대학교_수,슈퍼마켓_수,숙박_시설_수,버스_정거장_수,블로그 감성점수(긍부정),블로그 감성점수(자극)
0,1,시장횟집,골목식당,서울특별시 용산구 용산동 소월로20길 38,용산구,용산2가동,34.8,48,녹사평(용산구청),1141.745862,4767052,2198687,2568365,668266,961649,786764,568025,985510,1274679,999857,548059,540499,778852,625103,86,47,2540319,1.39E+11,346403000,1403490000,8866,5007,5007,1795,281,73,762,608,104,29,15,2,204859436,63,3,,,,4,,,,,29,5.980066,4.034357
1,1,준까스,골목식당,서울특별시 강동구 둔촌동 풍성로63길 79,강동구,둔촌2동,33.6,52.8,둔촌동,540.1399317,6722354,3222928,3499427,1241312,987535,1064347,1018586,1653181,1853905,1448592,775799,746324,1027721,870011,113,50,3414406,4591220000,2563283000,1249125000,24228,10426,10426,4961,316,216,1064,821,226,134,153,359,261960069,129,5,4,1,,17,2,,,,32,6.078981,4.019847
2,1,온전히,골목식당,서울특별시 강동구 성내동 244-14,강동구,성내3동,33.6,54,강동,376.9134946,6644715,3164435,3480279,904766,1045776,1149470,1065694,1595494,1818195,1371545,767817,754681,1060356,872122,117,48,2897346,7568270000,3121943000,2769723000,22433,10645,10645,4641,460,299,1800,1074,396,290,107,30,212466670,136,4,5,,,13,2,2,,,13,6.137919,4.106103
3,1,필동멸치국수,골목식당,서울특별시 중구 필동2가 15-14,중구,필동,36,62.4,충무로,83.86441547,2587211,1360293,1226919,234836,471860,440651,416778,427819,371059,548256,476686,461875,492189,237144,135,59,3033044,6229187000,1970332000,3157184000,4012,2495,2495,17346,31,19,136,34,51,14,7,4,248890227,123,6,9,1,,7,,19,,1,15,6.005223,4.002848
4,1,소년아저씨,골목식당,서울특별시 성동구 상원2길 5-5,성동구,성수1가2동,32.4,49.2,뚝섬,217.2296207,5732417,2762947,2969471,549623,1407976,1008201,737171,794700,918681,1144392,985882,1035937,1118087,529439,81,51,3263294,10959032000,4252201000,4238642000,11932,5899,5899,6301,68,44,104,94,20,123,80,278,465824238,79,3,6,,,6,,1,,,12,5.993971,4.011697
5,1,맹그로브,골목식당,서울특별시 마포구 공덕동 마포대로12길 29,마포구,공덕동,33.6,57.6,공덕,467.9831433,13380266,6066731,7313535,1839339,2519533,2290953,2066569,2729440,3628156,2822365,1561118,1526227,2113183,1729220,123,54,4047702,5797804000,2843302000,1855579000,36426,18559,18559,14467,415,41,366,888,682,384,95,744,396354330,172,7,9,,,21,1,,2,,39,6.084165,3.9222
6,1,단초식당 선릉점,골목식당,서울특별시 강남구 대치4동 역삼로69길 27,강남구,대치4동,33.6,51.6,선릉,474.3030591,10158276,5078861,5079415,2761459,1627800,1940702,1381408,1103489,1911278,1955655,1506180,1570511,2066100,1148552,97,47,4101144,1.83E+11,1.75E+11,5326286000,18614,9730,9730,33305,403,9,1042,1108,622,419,162,333,348340499,159,4,12,1,1,18,,1,,,14,5.779214,3.534214
7,1,더리버 벨라쿠치나,맛있는 녀석들,서울특별시 서초구 반포동 1338,서초구,반포본동,42,70.8,구반포,536.0774086,382171,197663,184506,75643,55756,75968,61758,68531,57829,101074,58681,58472,68507,37606,165,65,5583021,565190000,452569000,85246000,117,44,44,24429,101,,,,,,,1224,2672553922,33,1,3,,,2,,,1,,5,6.247789,4.038449
8,1,오후청,맛있는 녀석들,서울특별시 중구 남대문로1길 26-10,중구,소공동,39.6,68.4,시청,283.4741471,2795907,1382341,1413566,212802,688097,649601,440181,332057,196489,643115,658826,640793,506500,150183,154,70,5380521,1.89E+12,1.88762E+12,4343313000,2178,1231,1231,77533,4,,,,24,2,6,12,489545455,231,13,29,,,10,,,,3,37,6.097516,3.977962
9,1,초량돼지,맛있는 녀석들,서울특별시 강남구 대치2동 996-14,강남구,대치2동,36,57.6,삼성,223.6514907,6083700,3282379,2801323,1740463,933044,1198746,781386,721347,1020161,1248269,981696,1042142,1197699,593733,117,53,6017362,35374086000,29881535000,3297798000,38212,13293,13293,92377,190,10,161,146,167,103,96,1144,1087778286,210,6,26,,2,20,,,,,39,6.106912,4.011689
