restaurant,sensitiment_score
봄플레이트,"(52.0, 12.0, 0.23076923076923078)"
경복식당,"(114.0, 20.0, 0.17543859649122806)"
어머니와아들,"(114.0, 21.0, 0.18421052631578946)"
솜이네떡볶이,"(22.0, 9.0, 0.4090909090909091)"
필동함박,"(161.0, 33.0, 0.20496894409937888)"
은희네온집닭떡볶이,"(33.0, 5.0, 0.15151515151515152)"
송죽장,"(109.0, 30.0, 0.27522935779816515)"
오복함흥냉면,"(117.0, 23.0, 0.19658119658119658)"
피자리움,"(89.0, 13.0, 0.14606741573033707)"
신촌즉석생우동,"(79.0, 13.0, 0.16455696202531644)"
계동피자,"(115.0, 8.0, 0.06956521739130435)"
산청엔흑돼지,"(68.0, 4.0, 0.058823529411764705)"
대관원,"(130.0, 31.0, 0.23846153846153847)"
메이드인시카고피자,"(238.0, 24.0, 0.10084033613445378)"
김여사네국수,"(52.0, 6.0, 0.11538461538461539)"
툇마루밥상,"(150.0, 30.0, 0.2)"
포썸,"(110.0, 4.0, 0.03636363636363636)"
오복순대국,"(106.0, 23.0, 0.2169811320754717)"
유야케도쿄,"(44.0, 6.0, 0.13636363636363635)"
피자힐,"(332.0, 38.0, 0.1144578313253012)"
더리버벨라쿠치나,"(126.0, 22.0, 0.1746031746031746)"
코퍼룸,"(89.0, 19.0, 0.21348314606741572)"
온전히,"(82.0, 13.0, 0.15853658536585366)"
필동멸치국수,"(85.0, 19.0, 0.2235294117647059)"
소년아저씨,"(53.0, 6.0, 0.11320754716981132)"
단초식당선릉점,"(25.0, 10.0, 0.4)"
오후청,"(22.0, 2.0, 0.09090909090909091)"
청담테라,"(49.0, 17.0, 0.3469387755102041)"
낀알로이알로이,"(101.0, 30.0, 0.297029702970297)"
민어집병우네,"(32.0, 11.0, 0.34375)"
우일집,"(62.0, 34.0, 0.5483870967741935)"
시장회집,"(141.0, 27.0, 0.19148936170212766)"
준까스,"(36.0, 4.0, 0.1111111111111111)"
맹그로브,"(21.0, 3.0, 0.14285714285714285)"
초량돼지,"(37.0, 6.0, 0.16216216216216217)"
순수식판,"(26.0, 1.0, 0.038461538461538464)"
더테이블키친,"(55.0, 13.0, 0.23636363636363636)"
이유식당,"(37.0, 0.0, 0.0)"
